journal_id,preferred_title,issns,quantitative_status,quantitative_status_v08,public_primary_status,public_primary_status_v08,production_signal_scimago,production_signal_incites,production_concordance,quantitative_reasons_v08
J2510375X,Aerosol Science and Engineering,2510375X;25103768,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.31).
J26665441,Artificial Intelligence in Geosciences,26665441,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 2.95).
J09288910,Automated Software Engineering,09288910;15737535,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.19).
J14712229,BMC Plant Biology,14712229,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.19).
J02699052,Brain Injury,02699052;1362301X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.06).
J23654244,Chinese Political Science Review,23654244;23654252,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J00097330,Circulation Research,00097330;15244571,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.00).
J22872728,Clinical and Molecular Hepatology,22872728;2287285X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.07). Variación SJR extrema como señal contextual; no modifica por sí sola la categoría.
J26737655,Crops,26737655,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.21).
J15733947,Current Cancer Therapy Reviews,15733947;18756301,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.03).
J20964862,Cybersecurity,20964862;25233246,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.21).
J26669544,Digital Business,26669544,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.00).
J25225731,Emergent Materials,25225731;2522574X,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.41).
J20008198,European Journal of Psychotraumatology,20008066;20008198,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J0924977X,European Neuropsychopharmacology,0924977X;18737862,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J00154725,Fluoride,00154725;22534083,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,Moderate,,SCImago only,Producción SCImago moderada (ratio 3.43).
J00157899,Forschung im Ingenieurwesen/Engineering Research,00157899;14340860,Moderate alert,No quantitative signals,Alerta moderada,Sin señales cuantitativas,,,No production signal,Sin señales v0.8 por encima de los umbrales aplicables.
J26737590,Future Transportation,26737590,No quantitative signals,Moderate alert,Sin señales cuantitativas,Alerta moderada,,Moderate,InCites only,Producción InCites moderada (ratio 3.16).
